county,precinct,office,district,party,candidate,votes,election_night,absentee,provisional
Sarpy,Precinct 47,United States Representative,2,DEM,John W. Ewing Jr.,281,220,61,0
Sarpy,Precinct 48,United States Representative,2,DEM,John W. Ewing Jr.,544,304,234,6
Sarpy,Precinct 49,United States Representative,2,DEM,John W. Ewing Jr.,703,397,297,9
Sarpy,Precinct 51,United States Representative,2,DEM,John W. Ewing Jr.,529,343,182,4
Sarpy,Precinct 52,United States Representative,2,DEM,John W. Ewing Jr.,691,447,233,11
Sarpy,Precinct 53,United States Representative,2,DEM,John W. Ewing Jr.,651,360,284,7
Sarpy,Precinct 54,United States Representative,2,DEM,John W. Ewing Jr.,728,411,312,5
Sarpy,Precinct 55,United States Representative,2,DEM,John W. Ewing Jr.,744,484,250,10
Sarpy,Precinct 56,United States Representative,2,DEM,John W. Ewing Jr.,573,388,181,4
Sarpy,Precinct 57,United States Representative,2,DEM,John W. Ewing Jr.,555,374,177,4
Sarpy,Precinct 58,United States Representative,2,DEM,John W. Ewing Jr.,241,169,69,3
Sarpy,Precinct 59,United States Representative,2,DEM,John W. Ewing Jr.,397,278,114,5
Sarpy,Precinct 60,United States Representative,2,DEM,John W. Ewing Jr.,393,289,101,3
Sarpy,Precinct 61,United States Representative,2,DEM,John W. Ewing Jr.,625,367,248,10
Sarpy,Precinct 62,United States Representative,2,DEM,John W. Ewing Jr.,442,278,159,5
Sarpy,,United States Representative,2,NON,WRITE-IN,74,32,41,1
Sarpy,Precinct 19,United States Representative,2,NON,WRITE-IN,1,0,1,0
Sarpy,Precinct 21,United States Representative,2,NON,WRITE-IN,1,1,0,0
Sarpy,Precinct 23,United States Representative,2,NON,WRITE-IN,0,0,0,0
Sarpy,Precinct 31,United States Representative,2,NON,WRITE-IN,3,1,2,0
Sarpy,Precinct 32,United States Representative,2,NON,WRITE-IN,1,1,0,0
Sarpy,Precinct 33,United States Representative,2,NON,WRITE-IN,5,3,2,0
Sarpy,Precinct 34,United States Representative,2,NON,WRITE-IN,5,3,2,0
Sarpy,Precinct 35,United States Representative,2,NON,WRITE-IN,4,1,3,0
Sarpy,Precinct 36,United States Representative,2,NON,WRITE-IN,2,2,0,0
Sarpy,Precinct 37,United States Representative,2,NON,WRITE-IN,5,2,3,0
Sarpy,Precinct 38,United States Representative,2,NON,WRITE-IN,1,0,1,0
Sarpy,Precinct 39,United States Representative,2,NON,WRITE-IN,3,1,2,0
Sarpy,Precinct 40,United States Representative,2,NON,WRITE-IN,2,0,2,0
Sarpy,Precinct 41,United States Representative,2,NON,WRITE-IN,2,0,2,0
Sarpy,Precinct 42,United States Representative,2,NON,WRITE-IN,4,1,2,1
Sarpy,Precinct 46,United States Representative,2,NON,WRITE-IN,3,0,3,0
Sarpy,Precinct 47,United States Representative,2,NON,WRITE-IN,0,0,0,0
Sarpy,Precinct 48,United States Representative,2,NON,WRITE-IN,0,0,0,0
Sarpy,Precinct 49,United States Representative,2,NON,WRITE-IN,2,1,1,0
Sarpy,Precinct 51,United States Representative,2,NON,WRITE-IN,3,2,1,0
Sarpy,Precinct 52,United States Representative,2,NON,WRITE-IN,0,0,0,0
Sarpy,Precinct 53,United States Representative,2,NON,WRITE-IN,0,0,0,0
Sarpy,Precinct 54,United States Representative,2,NON,WRITE-IN,4,2,2,0
Sarpy,Precinct 55,United States Representative,2,NON,WRITE-IN,5,2,3,0
Sarpy,Precinct 56,United States Representative,2,NON,WRITE-IN,2,2,0,0
Sarpy,Precinct 57,United States Representative,2,NON,WRITE-IN,1,1,0,0
Sarpy,Precinct 58,United States Representative,2,NON,WRITE-IN,4,0,4,0
Sarpy,Precinct 59,United States Representative,2,NON,WRITE-IN,5,2,3,0
Sarpy,Precinct 60,United States Representative,2,NON,WRITE-IN,1,1,0,0
Sarpy,Precinct 61,United States Representative,2,NON,WRITE-IN,3,2,1,0
Sarpy,Precinct 62,United States Representative,2,NON,WRITE-IN,2,1,1,0
Sarpy,,PSC Member,3,REP,Tim Schram,55059,36169,18262,628
Sarpy,Precinct 1,PSC Member,3,REP,Tim Schram,575,420,145,10
Sarpy,Precinct 2,PSC Member,3,REP,Tim Schram,726,540,178,8
Sarpy,Precinct 3,PSC Member,3,REP,Tim Schram,952,594,334,24
Sarpy,Precinct 4,PSC Member,3,REP,Tim Schram,931,684,237,10
Sarpy,Precinct 5,PSC Member,3,REP,Tim Schram,829,515,303,11
Sarpy,Precinct 6,PSC Member,3,REP,Tim Schram,960,654,284,22
Sarpy,Precinct 7,PSC Member,3,REP,Tim Schram,835,593,229,13
Sarpy,Precinct 8,PSC Member,3,REP,Tim Schram,862,577,266,19
Sarpy,Precinct 9,PSC Member,3,REP,Tim Schram,911,667,223,21
Sarpy,Precinct 10,PSC Member,3,REP,Tim Schram,656,513,121,22
Sarpy,Precinct 11,PSC Member,3,REP,Tim Schram,1230,813,400,17
Sarpy,Precinct 12,PSC Member,3,REP,Tim Schram,944,684,252,8
Sarpy,Precinct 13,PSC Member,3,REP,Tim Schram,1284,825,444,15
Sarpy,Precinct 16,PSC Member,3,REP,Tim Schram,1037,728,304,5
Sarpy,Precinct 17,PSC Member,3,REP,Tim Schram,998,693,295,10
Sarpy,Precinct 18,PSC Member,3,REP,Tim Schram,748,531,213,4
Sarpy,Precinct 19,PSC Member,3,REP,Tim Schram,1414,738,661,15
Sarpy,Precinct 20,PSC Member,3,REP,Tim Schram,1105,720,367,18
Sarpy,Precinct 21,PSC Member,3,REP,Tim Schram,1571,889,669,13
Sarpy,Precinct 22,PSC Member,3,REP,Tim Schram,1106,742,345,19
Sarpy,Precinct 23,PSC Member,3,REP,Tim Schram,1138,632,477,29
Sarpy,Precinct 24,PSC Member,3,REP,Tim Schram,683,463,202,18
Sarpy,Precinct 25,PSC Member,3,REP,Tim Schram,742,493,235,14
Sarpy,Precinct 26,PSC Member,3,REP,Tim Schram,1077,715,356,6
Sarpy,Precinct 31,PSC Member,3,REP,Tim Schram,1621,1090,515,16
Sarpy,Precinct 32,PSC Member,3,REP,Tim Schram,868,573,287,8
Sarpy,Precinct 33,PSC Member,3,REP,Tim Schram,1011,648,347,16
Sarpy,Precinct 34,PSC Member,3,REP,Tim Schram,1102,764,322,16
Sarpy,Precinct 35,PSC Member,3,REP,Tim Schram,990,690,289,11
Sarpy,Precinct 36,PSC Member,3,REP,Tim Schram,1131,725,402,4
Sarpy,Precinct 37,PSC Member,3,REP,Tim Schram,1329,820,499,10
Sarpy,Precinct 38,PSC Member,3,REP,Tim Schram,1125,736,381,8
Sarpy,Precinct 39,PSC Member,3,REP,Tim Schram,1171,744,415,12
Sarpy,Precinct 40,PSC Member,3,REP,Tim Schram,1104,692,403,9
Sarpy,Precinct 41,PSC Member,3,REP,Tim Schram,1222,728,483,11
Sarpy,Precinct 42,PSC Member,3,REP,Tim Schram,1235,732,487,16
Sarpy,Precinct 46,PSC Member,3,REP,Tim Schram,893,593,298,2
Sarpy,Precinct 47,PSC Member,3,REP,Tim Schram,607,495,111,1
Sarpy,Precinct 48,PSC Member,3,REP,Tim Schram,1309,754,549,6
Sarpy,Precinct 49,PSC Member,3,REP,Tim Schram,1376,843,519,14
Sarpy,Precinct 51,PSC Member,3,REP,Tim Schram,1295,861,424,10
Sarpy,Precinct 52,PSC Member,3,REP,Tim Schram,1359,878,463,18
Sarpy,Precinct 53,PSC Member,3,REP,Tim Schram,1255,762,482,11
Sarpy,Precinct 54,PSC Member,3,REP,Tim Schram,1310,833,469,8
Sarpy,Precinct 55,PSC Member,3,REP,Tim Schram,1403,921,468,14
Sarpy,Precinct 56,PSC Member,3,REP,Tim Schram,1058,783,269,6
Sarpy,Precinct 57,PSC Member,3,REP,Tim Schram,931,686,244,1
Sarpy,Precinct 58,PSC Member,3,REP,Tim Schram,740,529,201,10
Sarpy,Precinct 59,PSC Member,3,REP,Tim Schram,952,689,256,7
Sarpy,Precinct 60,PSC Member,3,REP,Tim Schram,891,660,223,8
Sarpy,Precinct 61,PSC Member,3,REP,Tim Schram,1619,958,645,16
Sarpy,Precinct 62,PSC Member,3,REP,Tim Schram,838,559,271,8
Sarpy,,PSC Member,3,NON,WRITE-IN,1173,770,373,30
Sarpy,Precinct 1,PSC Member,3,NON,WRITE-IN,34,23,11,0
Sarpy,Precinct 2,PSC Member,3,NON,WRITE-IN,20,10,8,2
Sarpy,Precinct 3,PSC Member,3,NON,WRITE-IN,26,21,5,0
Sarpy,Precinct 4,PSC Member,3,NON,WRITE-IN,33,26,7,0
Sarpy,Precinct 5,PSC Member,3,NON,WRITE-IN,25,16,8,1
Sarpy,Precinct 6,PSC Member,3,NON,WRITE-IN,33,19,11,3
Sarpy,Precinct 7,PSC Member,3,NON,WRITE-IN,25,17,7,1
Sarpy,Precinct 8,PSC Member,3,NON,WRITE-IN,15,10,5,0
Sarpy,Precinct 9,PSC Member,3,NON,WRITE-IN,31,25,5,1
Sarpy,Precinct 10,PSC Member,3,NON,WRITE-IN,18,12,5,1
Sarpy,Precinct 11,PSC Member,3,NON,WRITE-IN,29,14,15,0
Sarpy,Precinct 12,PSC Member,3,NON,WRITE-IN,22,13,9,0
Sarpy,Precinct 13,PSC Member,3,NON,WRITE-IN,27,19,7,1
Sarpy,Precinct 16,PSC Member,3,NON,WRITE-IN,34,19,12,3
Sarpy,Precinct 17,PSC Member,3,NON,WRITE-IN,41,27,14,0
Sarpy,Precinct 18,PSC Member,3,NON,WRITE-IN,33,22,9,2
Sarpy,Precinct 19,PSC Member,3,NON,WRITE-IN,33,15,17,1
Sarpy,Precinct 20,PSC Member,3,NON,WRITE-IN,28,19,9,0
Sarpy,Precinct 21,PSC Member,3,NON,WRITE-IN,22,15,5,2
Sarpy,Precinct 22,PSC Member,3,NON,WRITE-IN,42,24,15,3
Sarpy,Precinct 23,PSC Member,3,NON,WRITE-IN,12,8,3,1
Sarpy,Precinct 24,PSC Member,3,NON,WRITE-IN,18,16,2,0
Sarpy,Precinct 25,PSC Member,3,NON,WRITE-IN,19,14,5,0
Sarpy,Precinct 26,PSC Member,3,NON,WRITE-IN,24,12,9,3
Sarpy,Precinct 31,PSC Member,3,NON,WRITE-IN,40,31,9,0
Sarpy,Precinct 32,PSC Member,3,NON,WRITE-IN,14,11,3,0
Sarpy,Precinct 33,PSC Member,3,NON,WRITE-IN,23,18,4,1
Sarpy,Precinct 34,PSC Member,3,NON,WRITE-IN,19,9,10,0
Sarpy,Precinct 35,PSC Member,3,NON,WRITE-IN,17,12,5,0
Sarpy,Precinct 36,PSC Member,3,NON,WRITE-IN,9,3,6,0
Sarpy,Precinct 37,PSC Member,3,NON,WRITE-IN,22,19,3,0
Sarpy,Precinct 38,PSC Member,3,NON,WRITE-IN,23,16,6,1
Sarpy,Precinct 39,PSC Member,3,NON,WRITE-IN,25,17,8,0
Sarpy,Precinct 40,PSC Member,3,NON,WRITE-IN,26,18,8,0
Sarpy,Precinct 41,PSC Member,3,NON,WRITE-IN,23,14,8,1
Sarpy,Precinct 42,PSC Member,3,NON,WRITE-IN,27,16,9,2
Sarpy,Precinct 46,PSC Member,3,NON,WRITE-IN,23,18,5,0
Sarpy,Precinct 47,PSC Member,3,NON,WRITE-IN,10,6,4,0
Sarpy,Precinct 48,PSC Member,3,NON,WRITE-IN,12,7,5,0
Sarpy,Precinct 49,PSC Member,3,NON,WRITE-IN,18,10,8,0
Sarpy,Precinct 51,PSC Member,3,NON,WRITE-IN,19,12,7,0
Sarpy,Precinct 52,PSC Member,3,NON,WRITE-IN,27,16,11,0
Sarpy,Precinct 53,PSC Member,3,NON,WRITE-IN,17,10,7,0
Sarpy,Precinct 54,PSC Member,3,NON,WRITE-IN,26,14,12,0
Sarpy,Precinct 55,PSC Member,3,NON,WRITE-IN,29,20,9,0
Sarpy,Precinct 56,PSC Member,3,NON,WRITE-IN,14,10,4,0
Sarpy,Precinct 57,PSC Member,3,NON,WRITE-IN,23,16,7,0
Sarpy,Precinct 58,PSC Member,3,NON,WRITE-IN,2,2,0,0
Sarpy,Precinct 59,PSC Member,3,NON,WRITE-IN,9,6,3,0
Sarpy,Precinct 60,PSC Member,3,NON,WRITE-IN,7,6,1,0
Sarpy,Precinct 61,PSC Member,3,NON,WRITE-IN,13,10,3,0
Sarpy,Precinct 62,PSC Member,3,NON,WRITE-IN,12,7,5,0
Sarpy,,Public Defender,,REP,Thomas P. Strigenz,53298,35063,17626,609
Sarpy,Precinct 1,Public Defender,,REP,Thomas P. Strigenz,570,416,144,10
Sarpy,Precinct 2,Public Defender,,REP,Thomas P. Strigenz,709,525,176,8
Sarpy,Precinct 3,Public Defender,,REP,Thomas P. Strigenz,940,590,327,23
Sarpy,Precinct 4,Public Defender,,REP,Thomas P. Strigenz,911,668,234,9
Sarpy,Precinct 5,Public Defender,,REP,Thomas P. Strigenz,810,507,292,11
Sarpy,Precinct 6,Public Defender,,REP,Thomas P. Strigenz,945,643,278,24
Sarpy,Precinct 7,Public Defender,,REP,Thomas P. Strigenz,809,574,222,13
Sarpy,Precinct 8,Public Defender,,REP,Thomas P. Strigenz,844,563,263,18
Sarpy,Precinct 9,Public Defender,,REP,Thomas P. Strigenz,896,653,224,19
Sarpy,Precinct 10,Public Defender,,REP,Thomas P. Strigenz,652,508,122,22
Sarpy,Precinct 11,Public Defender,,REP,Thomas P. Strigenz,1205,786,403,16
Sarpy,Precinct 12,Public Defender,,REP,Thomas P. Strigenz,930,678,244,8
Sarpy,Precinct 13,Public Defender,,REP,Thomas P. Strigenz,1259,817,427,15
Sarpy,Precinct 16,Public Defender,,REP,Thomas P. Strigenz,1012,712,294,6
Sarpy,Precinct 17,Public Defender,,REP,Thomas P. Strigenz,969,673,286,10
Sarpy,Precinct 18,Public Defender,,REP,Thomas P. Strigenz,736,521,209,6
Sarpy,Precinct 19,Public Defender,,REP,Thomas P. Strigenz,1380,722,643,15
Sarpy,Precinct 20,Public Defender,,REP,Thomas P. Strigenz,1069,696,356,17
Sarpy,Precinct 21,Public Defender,,REP,Thomas P. Strigenz,1525,868,643,14
Sarpy,Precinct 22,Public Defender,,REP,Thomas P. Strigenz,1093,736,339,18
Sarpy,Precinct 23,Public Defender,,REP,Thomas P. Strigenz,1101,612,462,27
Sarpy,Precinct 24,Public Defender,,REP,Thomas P. Strigenz,667,451,198,18
Sarpy,Precinct 25,Public Defender,,REP,Thomas P. Strigenz,733,487,232,14
Sarpy,Precinct 26,Public Defender,,REP,Thomas P. Strigenz,1061,702,353,6
Sarpy,Precinct 31,Public Defender,,REP,Thomas P. Strigenz,1596,1080,500,16
Sarpy,Precinct 32,Public Defender,,REP,Thomas P. Strigenz,839,552,279,8
Sarpy,Precinct 33,Public Defender,,REP,Thomas P. Strigenz,986,634,337,15
Sarpy,Precinct 34,Public Defender,,REP,Thomas P. Strigenz,1080,752,313,15
Sarpy,Precinct 35,Public Defender,,REP,Thomas P. Strigenz,974,677,286,11
Sarpy,Precinct 36,Public Defender,,REP,Thomas P. Strigenz,1106,704,398,4
Sarpy,Precinct 37,Public Defender,,REP,Thomas P. Strigenz,1290,791,489,10
Sarpy,Precinct 38,Public Defender,,REP,Thomas P. Strigenz,1086,712,367,7
Sarpy,Precinct 39,Public Defender,,REP,Thomas P. Strigenz,1135,723,401,11
Sarpy,Precinct 40,Public Defender,,REP,Thomas P. Strigenz,1035,658,369,8
Sarpy,Precinct 41,Public Defender,,REP,Thomas P. Strigenz,1185,703,471,11
Sarpy,Precinct 42,Public Defender,,REP,Thomas P. Strigenz,1189,706,467,16
Sarpy,Precinct 46,Public Defender,,REP,Thomas P. Strigenz,781,530,250,1
Sarpy,Precinct 47,Public Defender,,REP,Thomas P. Strigenz,557,454,102,1
Sarpy,Precinct 48,Public Defender,,REP,Thomas P. Strigenz,1255,735,513,7
Sarpy,Precinct 49,Public Defender,,REP,Thomas P. Strigenz,1327,810,503,14
Sarpy,Precinct 51,Public Defender,,REP,Thomas P. Strigenz,1243,828,405,10
Sarpy,Precinct 52,Public Defender,,REP,Thomas P. Strigenz,1321,850,454,17
Sarpy,Precinct 53,Public Defender,,REP,Thomas P. Strigenz,1235,745,480,10
Sarpy,Precinct 54,Public Defender,,REP,Thomas P. Strigenz,1268,804,456,8
Sarpy,Precinct 55,Public Defender,,REP,Thomas P. Strigenz,1377,907,457,13
Sarpy,Precinct 56,Public Defender,,REP,Thomas P. Strigenz,1036,767,263,6
Sarpy,Precinct 57,Public Defender,,REP,Thomas P. Strigenz,907,671,235,1
Sarpy,Precinct 58,Public Defender,,REP,Thomas P. Strigenz,669,484,179,6
Sarpy,Precinct 59,Public Defender,,REP,Thomas P. Strigenz,859,628,225,6
Sarpy,Precinct 60,Public Defender,,REP,Thomas P. Strigenz,821,611,202,8
Sarpy,Precinct 61,Public Defender,,REP,Thomas P. Strigenz,1498,892,592,14
Sarpy,Precinct 62,Public Defender,,REP,Thomas P. Strigenz,817,547,262,8
Sarpy,,Public Defender,,NON,WRITE-IN,1093,721,345,27
Sarpy,Precinct 1,Public Defender,,NON,WRITE-IN,38,24,14,0
Sarpy,Precinct 2,Public Defender,,NON,WRITE-IN,19,12,5,2
Sarpy,Precinct 3,Public Defender,,NON,WRITE-IN,19,16,3,0
Sarpy,Precinct 4,Public Defender,,NON,WRITE-IN,30,22,7,1
Sarpy,Precinct 5,Public Defender,,NON,WRITE-IN,22,13,8,1
Sarpy,Precinct 6,Public Defender,,NON,WRITE-IN,26,18,7,1
Sarpy,Precinct 7,Public Defender,,NON,WRITE-IN,29,22,6,1
Sarpy,Precinct 8,Public Defender,,NON,WRITE-IN,11,9,2,0
Sarpy,Precinct 9,Public Defender,,NON,WRITE-IN,31,25,5,1
Sarpy,Precinct 10,Public Defender,,NON,WRITE-IN,17,12,4,1
Sarpy,Precinct 11,Public Defender,,NON,WRITE-IN,22,12,10,0
Sarpy,Precinct 12,Public Defender,,NON,WRITE-IN,19,12,7,0
Sarpy,Precinct 13,Public Defender,,NON,WRITE-IN,24,17,6,1
Sarpy,Precinct 16,Public Defender,,NON,WRITE-IN,28,16,9,3
Sarpy,Precinct 17,Public Defender,,NON,WRITE-IN,38,26,12,0
Sarpy,Precinct 18,Public Defender,,NON,WRITE-IN,27,16,9,2
Sarpy,Precinct 19,Public Defender,,NON,WRITE-IN,36,18,17,1
Sarpy,Precinct 20,Public Defender,,NON,WRITE-IN,28,17,11,0
Sarpy,Precinct 21,Public Defender,,NON,WRITE-IN,22,13,8,1
Sarpy,Precinct 22,Public Defender,,NON,WRITE-IN,30,20,7,3
Sarpy,Precinct 23,Public Defender,,NON,WRITE-IN,17,10,6,1
Sarpy,Precinct 24,Public Defender,,NON,WRITE-IN,16,14,2,0
Sarpy,Precinct 25,Public Defender,,NON,WRITE-IN,15,11,4,0
Sarpy,Precinct 26,Public Defender,,NON,WRITE-IN,23,12,8,3
Sarpy,Precinct 31,Public Defender,,NON,WRITE-IN,35,27,8,0
Sarpy,Precinct 32,Public Defender,,NON,WRITE-IN,9,8,1,0
Sarpy,Precinct 33,Public Defender,,NON,WRITE-IN,26,20,5,1
Sarpy,Precinct 34,Public Defender,,NON,WRITE-IN,20,9,11,0
Sarpy,Precinct 35,Public Defender,,NON,WRITE-IN,14,11,3,0
Sarpy,Precinct 36,Public Defender,,NON,WRITE-IN,12,6,6,0
Sarpy,Precinct 37,Public Defender,,NON,WRITE-IN,26,20,6,0
Sarpy,Precinct 38,Public Defender,,NON,WRITE-IN,20,14,6,0
Sarpy,Precinct 39,Public Defender,,NON,WRITE-IN,25,16,9,0
Sarpy,Precinct 40,Public Defender,,NON,WRITE-IN,27,18,9,0
Sarpy,Precinct 41,Public Defender,,NON,WRITE-IN,26,17,8,1
Sarpy,Precinct 42,Public Defender,,NON,WRITE-IN,26,14,10,2
Sarpy,Precinct 46,Public Defender,,NON,WRITE-IN,12,9,3,0
Sarpy,Precinct 47,Public Defender,,NON,WRITE-IN,8,4,4,0
Sarpy,Precinct 48,Public Defender,,NON,WRITE-IN,18,9,9,0
Sarpy,Precinct 49,Public Defender,,NON,WRITE-IN,15,10,5,0
Sarpy,Precinct 51,Public Defender,,NON,WRITE-IN,11,8,3,0
Sarpy,Precinct 52,Public Defender,,NON,WRITE-IN,28,16,12,0
Sarpy,Precinct 53,Public Defender,,NON,WRITE-IN,14,9,5,0
Sarpy,Precinct 54,Public Defender,,NON,WRITE-IN,29,17,12,0
Sarpy,Precinct 55,Public Defender,,NON,WRITE-IN,25,17,8,0
Sarpy,Precinct 56,Public Defender,,NON,WRITE-IN,11,8,3,0
Sarpy,Precinct 57,Public Defender,,NON,WRITE-IN,22,15,7,0
Sarpy,Precinct 58,Public Defender,,NON,WRITE-IN,1,1,0,0
Sarpy,Precinct 59,Public Defender,,NON,WRITE-IN,12,9,3,0
Sarpy,Precinct 60,Public Defender,,NON,WRITE-IN,7,5,2,0
Sarpy,Precinct 61,Public Defender,,NON,WRITE-IN,14,11,3,0
Sarpy,Precinct 62,Public Defender,,NON,WRITE-IN,13,6,7,0
Sarpy,,Co Comm,1,REP,Don Kelly,10584,6935,3484,165
Sarpy,Precinct 2,Co Comm,1,REP,Don Kelly,222,155,64,3
Sarpy,Precinct 8,Co Comm,1,REP,Don Kelly,840,559,264,17
Sarpy,Precinct 9,Co Comm,1,REP,Don Kelly,894,654,221,19
Sarpy,Precinct 10,Co Comm,1,REP,Don Kelly,638,497,119,22
Sarpy,Precinct 11,Co Comm,1,REP,Don Kelly,1198,784,398,16
Sarpy,Precinct 12,Co Comm,1,REP,Don Kelly,917,668,241,8
Sarpy,Precinct 21,Co Comm,1,REP,Don Kelly,1547,882,651,14
Sarpy,Precinct 23,Co Comm,1,REP,Don Kelly,1103,609,466,28
Sarpy,Precinct 24,Co Comm,1,REP,Don Kelly,671,452,201,18
Sarpy,Precinct 25,Co Comm,1,REP,Don Kelly,724,484,229,11
Sarpy,Precinct 26,Co Comm,1,REP,Don Kelly,1053,702,345,6
Sarpy,Precinct 48,Co Comm,1,REP,Don Kelly,777,489,285,3
Sarpy,,Co Comm,1,NON,WRITE-IN,214,138,67,9
Sarpy,Precinct 2,Co Comm,1,NON,WRITE-IN,9,4,4,1
Sarpy,Precinct 8,Co Comm,1,NON,WRITE-IN,13,9,4,0
Sarpy,Precinct 9,Co Comm,1,NON,WRITE-IN,29,22,6,1
Sarpy,Precinct 10,Co Comm,1,NON,WRITE-IN,15,10,4,1
Sarpy,Precinct 11,Co Comm,1,NON,WRITE-IN,23,11,12,0
Sarpy,Precinct 12,Co Comm,1,NON,WRITE-IN,26,18,8,0
Sarpy,Precinct 21,Co Comm,1,NON,WRITE-IN,24,14,9,1
Sarpy,Precinct 23,Co Comm,1,NON,WRITE-IN,14,9,4,1
Sarpy,Precinct 24,Co Comm,1,NON,WRITE-IN,15,13,2,0
Sarpy,Precinct 25,Co Comm,1,NON,WRITE-IN,19,13,5,1
Sarpy,Precinct 26,Co Comm,1,NON,WRITE-IN,23,12,8,3
Sarpy,Precinct 48,Co Comm,1,NON,WRITE-IN,4,3,1,0
Sarpy,,Co Comm,3,REP,Hugh I. Abrahamson,5453,3769,1617,67
Sarpy,Precinct 1,Co Comm,3,REP,Hugh I. Abrahamson,296,228,66,2
Sarpy,Precinct 2,Co Comm,3,REP,Hugh I. Abrahamson,312,241,69,2
Sarpy,Precinct 3,Co Comm,3,REP,Hugh I. Abrahamson,512,326,175,11
Sarpy,Precinct 4,Co Comm,3,REP,Hugh I. Abrahamson,521,374,143,4
Sarpy,Precinct 5,Co Comm,3,REP,Hugh I. Abrahamson,438,270,160,8
Sarpy,Precinct 6,Co Comm,3,REP,Hugh I. Abrahamson,492,342,142,8
Sarpy,Precinct 7,Co Comm,3,REP,Hugh I. Abrahamson,473,339,127,7
Sarpy,Precinct 13,Co Comm,3,REP,Hugh I. Abrahamson,755,494,254,7
Sarpy,Precinct 18,Co Comm,3,REP,Hugh I. Abrahamson,376,275,98,3
Sarpy,Precinct 20,Co Comm,3,REP,Hugh I. Abrahamson,622,424,192,6
Sarpy,Precinct 22,Co Comm,3,REP,Hugh I. Abrahamson,656,456,191,9
Sarpy,,Co Comm,3,DEM,Tom Richards,6594,4175,2284,135
Sarpy,Precinct 1,Co Comm,3,DEM,Tom Richards,501,335,149,17
Sarpy,Precinct 2,Co Comm,3,DEM,Tom Richards,309,211,91,7
Sarpy,Precinct 3,Co Comm,3,DEM,Tom Richards,625,383,226,16
Sarpy,Precinct 4,Co Comm,3,DEM,Tom Richards,627,460,161,6
Sarpy,Precinct 5,Co Comm,3,DEM,Tom Richards,525,308,212,5
Sarpy,Precinct 6,Co Comm,3,DEM,Tom Richards,687,427,238,22
Sarpy,Precinct 7,Co Comm,3,DEM,Tom Richards,571,385,177,9
Sarpy,Precinct 13,Co Comm,3,DEM,Tom Richards,811,480,316,15
Sarpy,Precinct 18,Co Comm,3,DEM,Tom Richards,547,354,184,9
Sarpy,Precinct 20,Co Comm,3,DEM,Tom Richards,735,436,284,15
Sarpy,Precinct 22,Co Comm,3,DEM,Tom Richards,656,396,246,14
Sarpy,,Co Comm,3,NON,WRITE-IN,33,24,7,2
Sarpy,Precinct 1,Co Comm,3,NON,WRITE-IN,6,5,1,0
Sarpy,Precinct 2,Co Comm,3,NON,WRITE-IN,2,1,1,0
Sarpy,Precinct 3,Co Comm,3,NON,WRITE-IN,3,2,1,0
Sarpy,Precinct 4,Co Comm,3,NON,WRITE-IN,3,2,0,1
Sarpy,Precinct 5,Co Comm,3,NON,WRITE-IN,1,1,0,0
Sarpy,Precinct 6,Co Comm,3,NON,WRITE-IN,1,0,1,0
Sarpy,Precinct 7,Co Comm,3,NON,WRITE-IN,3,3,0,0
Sarpy,Precinct 13,Co Comm,3,NON,WRITE-IN,2,2,0,0
Sarpy,Precinct 18,Co Comm,3,NON,WRITE-IN,7,3,3,1
Sarpy,Precinct 20,Co Comm,3,NON,WRITE-IN,3,3,0,0
Sarpy,Precinct 22,Co Comm,3,NON,WRITE-IN,2,2,0,0
Sarpy,,Co Comm,4,REP,Brenda L. Carlisle,10721,6806,3813,102
Sarpy,Precinct 16,Co Comm,4,REP,Brenda L. Carlisle,1002,702,295,5
Sarpy,Precinct 17,Co Comm,4,REP,Brenda L. Carlisle,946,656,281,9
Sarpy,Precinct 19,Co Comm,4,REP,Brenda L. Carlisle,1377,718,644,15
Sarpy,Precinct 34,Co Comm,4,REP,Brenda L. Carlisle,1096,764,318,14
Sarpy,Precinct 35,Co Comm,4,REP,Brenda L. Carlisle,987,682,294,11
Sarpy,Precinct 37,Co Comm,4,REP,Brenda L. Carlisle,1274,786,478,10
Sarpy,Precinct 38,Co Comm,4,REP,Brenda L. Carlisle,1068,702,360,6
Sarpy,Precinct 40,Co Comm,4,REP,Brenda L. Carlisle,611,390,214,7
Sarpy,Precinct 41,Co Comm,4,REP,Brenda L. Carlisle,1175,702,462,11
Sarpy,Precinct 42,Co Comm,4,REP,Brenda L. Carlisle,1185,704,467,14
Sarpy,,Co Comm,4,NON,WRITE-IN,260,165,85,10
Sarpy,Precinct 16,Co Comm,4,NON,WRITE-IN,37,22,12,3
Sarpy,Precinct 17,Co Comm,4,NON,WRITE-IN,39,29,9,1
Sarpy,Precinct 19,Co Comm,4,NON,WRITE-IN,37,19,17,1
Sarpy,Precinct 34,Co Comm,4,NON,WRITE-IN,19,10,9,0
Sarpy,Precinct 35,Co Comm,4,NON,WRITE-IN,14,10,4,0
Sarpy,Precinct 37,Co Comm,4,NON,WRITE-IN,21,17,4,0
Sarpy,Precinct 38,Co Comm,4,NON,WRITE-IN,23,15,7,1
Sarpy,Precinct 40,Co Comm,4,NON,WRITE-IN,17,13,4,0
Sarpy,Precinct 41,Co Comm,4,NON,WRITE-IN,21,11,9,1
Sarpy,Precinct 42,Co Comm,4,NON,WRITE-IN,32,19,10,3
